Type;Name;Schema;ParentName;ParentType;ParentSchema;Title;Description;CustomField1;CustomField2;CustomField3
AREA;Recruitment & Onboarding;;HR;DOMAIN;;;The Recruitment & Onboarding component in the HR domain of a manufacturing company focuses on the processes of acquiring and integrating new talent into the organization. It encompasses strategies for sourcing, assessing, and hiring new employees, as well as the efficient onboarding of these individuals to ensure a smooth transition into their roles. Effective recruitment and onboarding procedures are essential for attracting the right talent and ensuring their successful integration into the company. Key Components: Job Posting and AdvertisingCandidate Sourcing and SelectionInterviewing and AssessmentOffer Letters and Employment ContractsBackground Checks and ReferencesNew Hire OrientationProvision of Company Policies and TrainingOnboarding Documentation and ComplianceIntegration with HR SystemsFeedback and Continuous Improvement in the Process;;;
AREA;Salary Structures;;Compensation & Benefits;AREA;;;The Salary Structures area pertains to the framework used to determine employee compensation levels in a manufacturing company. It involves the creation and maintenance of a standardized system that defines pay ranges, grades, and salary bands based on job roles, experience, and market benchmarks. Salary structures ensure consistency, equity, and transparency in compensation decisions, helping to attract, retain, and motivate employees. Key Components: Job Classification and GradingSalary Range DevelopmentMarket Salary Surveys and AnalysisCompensation BenchmarkingPay BandingSkill-Based Pay SchemesPerformance-Based Pay StructuresCompensation Policy DevelopmentEquity and Fairness AssessmentsSalary Structure Communication and Training;;;
AREA;SharePoint;;Document Management Systems;AREA;;;SharePoint is a versatile collaborative platform developed by Microsoft, serving as a centralized hub for organizations to manage and share information, documents, and streamline workflow processes. Its robust features support efficient team collaboration and document management, making it an invaluable tool for businesses of all sizes. Key features of SharePoint include: Document ManagementTeam CollaborationVersion ControlCustomizable WorkflowsContent SearchAccess Control and PermissionsIntegration with Microsoft 365 AppsMobile AccessibilityBusiness Intelligence and ReportingCustomization and Development Capabilities  SharePoint enhances productivity, promotes knowledge sharing, and facilitates efficient content management, making it an essential tool for modern businesses and organizations.;;;
AREA;Sourcing;;Purchasing;AREA;;;The Sourcing is responsible for identifying, evaluating, and selecting suppliers to fulfill the organization's procurement needs. This includes researching potential suppliers, negotiating contracts, and establishing relationships that result in cost-effective and high-quality procurement solutions. Key Components: Supplier Identification and EvaluationRequest for Proposal (RFP) CreationSupplier Negotiations and ContractingSupplier Performance MonitoringCost Analysis and ComparisonStrategic Sourcing StrategiesSupplier Risk AssessmentMarket Research and BenchmarkingSustainable and Ethical SourcingSupplier Diversity Initiatives;;;
AREA;Supplier portal;;Business Applications Dept;DOMAIN;;;A Supplier Portal, developed and managed by the Business Applications Department, is an online platform that serves as a centralized hub for communication and collaboration between an organization and its suppliers. This portal facilitates efficient procurement, order management, and information exchange, streamlining the supplier relationship management process. Key features and functions: Supplier Onboarding: Allows suppliers to register and provide essential information, simplifying the procurement process.Order Management: Enables suppliers to receive, acknowledge, and fulfill purchase orders electronically.Invoice Submission: Allows suppliers to submit invoices electronically, reducing manual paperwork and errors.Document Sharing: Provides a secure platform for sharing documents, contracts, and specifications.Inventory and Catalog Management: Allows suppliers to update product catalogs and stock availability.Payment and Billing Status: Offers transparency on payment status and billing inquiries.Communication Tools: Facilitates direct communication between the organization and suppliers, enhancing collaboration.Reporting and Analytics: Provides data and insights on transaction history, order volumes, and performance metrics.  A supplier portal enhances efficiency, transparency, and collaboration in the procurement process, benefiting both the organization and its suppliers. It streamlines operations, reduces manual tasks, and improves the accuracy and speed of order processing and invoice management. Additionally, it strengthens supplier relationships and helps ensure a reliable and cost-effective supply chain.;;;
AREA;Supplier portal;;Supplier portal;AREA;;;A Supplier Portal is a web-based platform that facilitates collaboration and communication between an organization and its suppliers. It provides a centralized hub for managing supplier interactions, procurement, and information exchange. Key features of a Supplier Portal include: Key Features: Supplier Onboarding: Streamlining the process of adding new suppliers to the system.Order Management: Facilitating the creation, tracking, and management of purchase orders.Inventory Visibility: Providing suppliers with real-time inventory information.Document Sharing: Securely exchanging invoices, contracts, and product specifications.Communication Tools: Supporting messaging, notifications, and alerts.Performance Analytics: Assessing supplier performance through metrics and reports.Quality Control: Monitoring and ensuring the quality of supplied products.Invoice and Payment Management: Handling invoicing, payment, and financial transactions.Compliance Monitoring: Ensuring that suppliers adhere to regulations and standards.Mobile Accessibility: Enabling access on various devices for on-the-go management.  Common Challenges: Data Security: Protecting sensitive supplier and company data from cyber threats.Supplier Adoption: Encouraging suppliers to adopt and utilize the portal effectively.Integration Complexity: Ensuring seamless integration with existing systems.Maintenance and Updates: Managing ongoing maintenance and software updates.User Training: Providing adequate training for employees and suppliers.Scalability: Adapting the portal as the number of suppliers or transactions grows.Supplier Resistance: Overcoming reluctance from some suppliers to embrace the portal.Costs: The initial investment and ongoing expenses associated with the portal.User Experience: Ensuring an intuitive and user-friendly interface for all users.Data Accuracy: Preventing errors in data entry and information exchange.  A Supplier Portal enhances supply chain transparency, efficiency, and collaboration but requires careful management to address the common challenges associated with its implementation and use.;;;
AREA;Sustainable Manufacturing and Environmental Pollution (SMEP);;Health, Safety & Environment (HSE);AREA;;;SMEP, which stands for Safety Management and Environmental Protection, is a critical component within the HSE (Health, Safety, and Environment) area of the Production domain in a manufacturing company. It is dedicated to the development and implementation of comprehensive strategies and systems to ensure workplace safety and environmental sustainability. SMEP involves the integration of safety measures, risk mitigation, and environmental protection practices to minimize accidents and reduce the ecological footprint of manufacturing operations. Key Components: Safety Procedures and GuidelinesSafety Training and EducationRisk Assessment and MitigationIncident Reporting and InvestigationEnvironmental Impact AssessmentHazardous Material ManagementEmergency Response PlanningRegulatory Compliance MonitoringSustainability Initiatives and ReportingContinuous Improvement in Safety and Environmental Practices;;;
AREA;Time Tracking;;HR;DOMAIN;;;The Time Tracking component in the HR domain of a manufacturing company focuses on accurately recording and managing employee working hours. It involves the systematic tracking of time and attendance, as well as the proper documentation of absences, holidays, leave, overtime, and work hours. Effective time tracking ensures fair compensation, adherence to labor laws, and proper workforce management. Key Components: AbsencesHolidaysClock-In and Clock-Out SystemsTimesheet Submission and ApprovalOvertime and Shift DifferentialsLeave Request and ManagementCompliance with Labor RegulationsTime and Attendance ReportingIntegration with Payroll and HR SystemsBiometric and Access Control Systems;;;
AREA;Vendor analytics;;Purchasing analytics;AREA;;;Vendor analytics is a subset of purchasing analytics in the Logistics Department of a manufacturing company. It focuses on assessing and analyzing the performance and relationships with suppliers to make informed procurement decisions and strengthen the supply chain. Key factors for vendor analytics include: Supplier performance evaluation: Assessing vendor reliability, quality, and on-time delivery.Cost analysis: Analyzing pricing, discounts, and overall cost-effectiveness of working with specific suppliers.Vendor communication and collaboration: Evaluating the effectiveness of communication and collaboration between the company and its suppliers.Lead time analysis: Assessing the time it takes for suppliers to deliver materials and goods.Supplier diversity: Monitoring the range of suppliers to ensure a resilient and diverse supply chain.Risk assessment: Identifying and mitigating potential risks associated with specific vendors.Purchase order accuracy: Ensuring that purchase orders match supplier deliveries accurately.Vendor compliance: Verifying that suppliers adhere to regulations and company policies.Supplier relationship management: Strengthening and maintaining productive, long-term relationships with key vendors.Vendor feedback and performance improvement: Collecting feedback from vendors to address issues and continuously improve relationships and performance.  Vendor analytics helps the Logistics Department make data-driven decisions about supplier selection, negotiation, and collaboration. By evaluating these factors, the department can enhance supplier relationships, reduce costs, and ensure a consistent and reliable source of materials, ultimately benefiting the manufacturing company's competitiveness and supply chain efficiency.;;;
AREA;Vendor Management;;Purchasing;AREA;;;Vendor Management focuses on the systematic oversight and nurturing of relationships with suppliers and vendors. Effective vendor management ensures that the organization's suppliers meet quality, performance, and delivery standards, contributing to a robust and reliable supply chain. Key Components: Supplier Selection and OnboardingSupplier Performance EvaluationContract Negotiations and ManagementSupplier Relationship Management (SRM)Supplier Audits and ComplianceRisk Assessment and MitigationCollaboration for Process ImprovementCommunication and Issue ResolutionContinuous Vendor Evaluation and DevelopmentSupplier Diversity and Sustainability Initiatives;;;
AREA;Work Order Management;;Production;DOMAIN;;;Work Order Management involves the systematic planning, tracking, and execution of manufacturing orders or work orders for the production of specific products or batches. Work Order Management ensures that production processes are efficiently organized, resources are allocated appropriately, and production goals are met. Key Components: Work Order Creation and AssignmentResource Allocation and SchedulingJob Instructions and RoutingMaterial and Inventory ManagementProduction Tracking and Progress ReportingQuality Control and Inspection ProceduresEmployee Task Assignment and MonitoringMachine and Equipment Usage ManagementPerformance Metrics and KPIsIntegration with Production Planning and Scheduling Systems;;;
AREA;Workplace Safety Protocols;;Health, Safety & Environment (HSE);AREA;;;Workplace Safety Protocols, an integral part of the Health, Safety, and Environment (HSE) area in the Production domain of a manufacturing company, are dedicated to safeguarding the well-being of employees and creating a secure working environment. These protocols encompass the development, implementation, and enforcement of safety measures and guidelines to prevent accidents, injuries, and health hazards within the workplace. Key Components: Safety Training and EducationHazard Identification and Risk AssessmentEmergency Response ProceduresPersonal Protective Equipment (PPE) RequirementsFire Safety and Evacuation PlansMachine and Equipment SafetyChemical Handling and Storage ProtocolsReporting and Investigation of Workplace IncidentsSafety Audits and InspectionsContinuous Improvement and Safety Culture Promotion;;;
COLUMN;@id;;wb:country;COLUMN;;;"3 digit code, e.g. ""USA""";;;
COLUMN;@id;;wb:incomeLevel;COLUMN;;;"Income Level 3 digit code, e.g. ""HIC""";;;
COLUMN;@id;;wb:region;COLUMN;;;"Region 3 digit code, e.g. ""NAC""";;;
COLUMN;@iso2code;;wb:incomeLevel;COLUMN;;;"Income Level ISO 2 Code, e.g. ""XD""";;;
COLUMN;@iso2code;;wb:region;COLUMN;;;"Region ISO 2 Code, e.g. ""XU""";;;
COLUMN;@timestamp;;kibana_sample_data_logs;SEARCH_INDEX;;;Document creation timestamp (datetime);;;
COLUMN;_id;;bank;SEARCH_INDEX;;;Document id;;;
COLUMN;_id;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Document ID;;;
COLUMN;_id;;kibana_sample_data_flights;SEARCH_INDEX;;;Document ID;;;
COLUMN;_id;;kibana_sample_data_logs;SEARCH_INDEX;;;Document ID;;;
COLUMN;_id;;people;TABLE;;;Document ID;;;
COLUMN;_id;;products;COLUMN;;;ID;;;
COLUMN;_id;;programs;TABLE;;;Document ID;;;
COLUMN;_id;;projects;TABLE;;;Document ID;;;
COLUMN;_id;;zips.json;STRUCTURE;;Zip;holds the zip code as a string;;;
COLUMN;2015_rank;;2015Fortune500.csv;STRUCTURE;;;2015 company Fortune 500 rank;;;
COLUMN;2015_revenues_m;;2015Fortune500.csv;STRUCTURE;;;Revenue in millions USD;;;
COLUMN;account_number;;bank;SEARCH_INDEX;;;Client's account number;;;
COLUMN;AccountNumber;;Customer;TABLE;Sales;;Unique number identifying the customer assigned by the accounting system.;;;
COLUMN;AccountNumber;;SalesOrderHeader;TABLE;Sales;;Financial accounting number reference.;;;
COLUMN;AccountNumber;;Vendor;TABLE;Purchasing;;Vendor account (identification) number.;;;
COLUMN;ActiveFlag;;Vendor;TABLE;Purchasing;;0 = Vendor no longer used. 1 = Vendor is actively used.;;;
COLUMN;ActualCost;;TransactionHistory;TABLE;Production;;Product cost.;;;
COLUMN;ActualCost;;TransactionHistoryArchive;TABLE;Production;;Product cost.;;;
COLUMN;ActualCost;;WorkOrderRouting;TABLE;Production;;Actual manufacturing cost.;;;
COLUMN;ActualEndDate;;WorkOrderRouting;TABLE;Production;;Actual end date.;;;
COLUMN;ActualResourceHrs;;WorkOrderRouting;TABLE;Production;;Number of manufacturing hours used.;;;
COLUMN;ActualStartDate;;WorkOrderRouting;TABLE;Production;;Actual start date.;;;
COLUMN;AdditionalContactInfo;;Person;TABLE;Person;;Additional contact information about the person stored in xml format. ;;;
COLUMN;address;;bank;SEARCH_INDEX;;;Client's addres;;;
COLUMN;Address;;Clients;TABLE;dbo;;Mailing address;;;
COLUMN;Address Line 1;;Customer;TABLE;;;First street address line.;;;
COLUMN;Address Line 2;;Customer;TABLE;;;Second street address line.;;;
COLUMN;AddressID;;Address;TABLE;Person;;Primary key for Address records.;;;
COLUMN;AddressID;;Address;TABLE;Person;;Primary key for Address records.;;;
COLUMN;AddressID;;BusinessEntityAddress;TABLE;Person;;Primary key. Foreign key to Address.AddressID.;;;
COLUMN;AddressLine1;;Address;TABLE;Person;;First street address line.;;;
COLUMN;AddressLine1;;Address;TABLE;Person;;First street address line.;;;
COLUMN;AddressLine2;;Address;TABLE;Person;;Second street address line.;;;
COLUMN;AddressTypeID;;AddressType;TABLE;Person;;Primary key for AddressType records.;;;
COLUMN;AddressTypeID;;BusinessEntityAddress;TABLE;Person;;Primary key. Foreign key to AddressType.AddressTypeID.;;;
COLUMN;age;;bank;SEARCH_INDEX;;;Client's age;;;
COLUMN;agent;;kibana_sample_data_logs;SEARCH_INDEX;;;User agent that contacted server;;;
COLUMN;Amount;;Orders;TABLE;dbo;;Amount ordered;;;
COLUMN;Availability;;Location;TABLE;Production;;Work capacity (in hours) of the manufacturing location.;;;
COLUMN;AverageLeadTime;;ProductVendor;TABLE;Purchasing;;The average span of time (in days) between placing an order with the vendor and receiving the purchased product.;;;
COLUMN;AverageRate;;CurrencyRate;TABLE;Sales;;Average exchange rate for the day.;;;
COLUMN;AvgTicketPrice;;kibana_sample_data_flights;SEARCH_INDEX;;;Average ticket price for a flight;;;
COLUMN;balance;;bank;SEARCH_INDEX;;;Clients's account's balance;;;
COLUMN;base_price;;products;COLUMN;;;Base price of product;;;
COLUMN;base_unit_price;;products;COLUMN;;;Base price of product in EUR;;;
COLUMN;BillOfMaterialsID;;BillOfMaterials;TABLE;Production;;Primary key for BillOfMaterials records.;;;
COLUMN;BillToAddressID;;SalesOrderHeader;TABLE;Sales;;Customer billing address. Foreign key to Address.AddressID.;;;
COLUMN;Bin;;ProductInventory;TABLE;Production;;Storage container on a shelf in an inventory location.;;;
COLUMN;Birth Date;;Customer;TABLE;;;Date of birth.;;;
COLUMN;BirthDate;;Employee;TABLE;HumanResources;;Date of birth.;;;
COLUMN;BOMLevel;;BillOfMaterials;TABLE;Production;;Indicates the depth the component is from its parent (AssemblyID).;;;
COLUMN;Bonus;;SalesPerson;TABLE;Sales;;Bonus due if quota is met.;;;
COLUMN;born;;Person;GRAPH_NODE;;;The year in which a person was born.;;;
COLUMN;Brand;;Items;TABLE;dbo;;Producer of the Item;;;
COLUMN;budget;;deails;COLUMN;;;Program budget;;;
COLUMN;budget;;projects;TABLE;;;Project budget;;;
COLUMN;BusinessEntityID;;BusinessEntity;TABLE;Person;;Primary key for all customers, vendors, and employees.;;;
COLUMN;BusinessEntityID;;BusinessEntityAddress;TABLE;Person;;Primary key. Foreign key to BusinessEntity.BusinessEntityID.;;;
COLUMN;BusinessEntityID;;BusinessEntityContact;TABLE;Person;;Primary key. Foreign key to BusinessEntity.BusinessEntityID.;;;
COLUMN;BusinessEntityID;;EmailAddress;TABLE;Person;;Primary key. Person associated with this email address.  Foreign key to Person.BusinessEntityID;;;
COLUMN;BusinessEntityID;;Employee;TABLE;HumanResources;;Primary key for Employee records.  Foreign key to BusinessEntity.BusinessEntityID.;;;
COLUMN;BusinessEntityID;;EmployeeDepartmentHistory;TABLE;HumanResources;;Employee identification number. Foreign key to Employee.BusinessEntityID.;;;
COLUMN;BusinessEntityID;;EmployeePayHistory;TABLE;HumanResources;;Employee identification number. Foreign key to Employee.BusinessEntityID.;;;
COLUMN;BusinessEntityID;;JobCandidate;TABLE;HumanResources;;Employee identification number if applicant was hired. Foreign key to Employee.BusinessEntityID.;;;
COLUMN;BusinessEntityID;;Password;TABLE;Person;;Person identification number. Foreign key to Person.BusinessEntityID.;;;
COLUMN;BusinessEntityID;;Person;TABLE;Person;;Primary key for Person records.;;;
COLUMN;BusinessEntityID;;PersonCreditCard;TABLE;Sales;;Business entity identification number. Foreign key to Person.BusinessEntityID.;;;
COLUMN;BusinessEntityID;;PersonPhone;TABLE;Person;;Business entity identification number. Foreign key to Person.BusinessEntityID.;;;
COLUMN;BusinessEntityID;;ProductVendor;TABLE;Purchasing;;Primary key. Foreign key to Vendor.BusinessEntityID.;;;
COLUMN;BusinessEntityID;;SalesPerson;TABLE;Sales;;Primary key for SalesPerson records. Foreign key to Employee.BusinessEntityID;;;
COLUMN;BusinessEntityID;;SalesPersonQuotaHistory;TABLE;Sales;;Sales person identification number. Foreign key to SalesPerson.BusinessEntityID.;;;
COLUMN;BusinessEntityID;;SalesTerritoryHistory;TABLE;Sales;;Primary key. The sales rep.  Foreign key to SalesPerson.BusinessEntityID.;;;
COLUMN;BusinessEntityID;;Store;TABLE;Sales;;Primary key. Foreign key to Customer.BusinessEntityID.;;;
COLUMN;BusinessEntityID;;Vendor;TABLE;Purchasing;;Primary key for Vendor records.  Foreign key to BusinessEntity.BusinessEntityID;;;
COLUMN;BusinessType;;insurance_data.xlsx.tblPolicies;STRUCTURE;;;Type of business ran in covered building;;;
COLUMN;bytes;;kibana_sample_data_logs;SEARCH_INDEX;;;Size in bytes;;;
COLUMN;Calendar Quarter;;Date;TABLE;;;Calendar quarter of a year (one quarter = three months);;;
COLUMN;Cancelled;;kibana_sample_data_flights;SEARCH_INDEX;;;If flight was cancelled (true/false);;;
COLUMN;CardNumber;;CreditCard;TABLE;Sales;;Credit card number.;;;
COLUMN;CardType;;CreditCard;TABLE;Sales;;Credit card name.;;;
COLUMN;Carrier;;kibana_sample_data_flights;SEARCH_INDEX;;;Carrier name;;;
COLUMN;CarrierTrackingNumber;;OrderTracking;TABLE;Sales;;Shipment tracking number supplied by the shipper.;;;
COLUMN;CarrierTrackingNumber;;SalesOrderDetail;TABLE;Sales;;Shipment tracking number supplied by the shipper.;;;
COLUMN;CatalogDescription;;ProductModel;TABLE;Production;;Detailed product catalog information in xml format.;;;
COLUMN;category;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Product category ;;;
COLUMN;category;;products;COLUMN;;;Product's category;;;
COLUMN;Category;;SpecialOffer;TABLE;Sales;;Group the discount applies to such as Reseller or Customer.;;;
COLUMN;ChangeNumber;;Document;TABLE;Production;;Engineering change approval number.;;;
COLUMN;cik_str;;N;COLUMN;;Central Index Key (CIK);The Central Index Key (CIK) is used on the SEC's computer systems to identify corporations and individual people who have filed disclosure with the SEC.;;;
COLUMN;City;;Address;TABLE;Person;;Name of the city.;;;
COLUMN;city;;bank;SEARCH_INDEX;;;City in which client lives;;;
COLUMN;City;;Clients;TABLE;dbo;;Mailing address City;;;
COLUMN;City;;Geography;TABLE;;;City name;;;
COLUMN;city;;zips.json;STRUCTURE;;City name;holds the city name. A city can have more than one zip code associated with it as different sections of the city can each have a different zip code;;;
COLUMN;city_name;;geoip;COLUMN;;;City name;;;
COLUMN;Class;;Product;TABLE;Production;;H = High, M = Medium, L = Low;;;
COLUMN;ClientID;;Clients;TABLE;dbo;;Row ID;;;
COLUMN;ClientID;;Orders;TABLE;dbo;;Ref: Clients;;;
COLUMN;clientip;;kibana_sample_data_logs;SEARCH_INDEX;;;IP address of client;;;
COLUMN;Code;;Items;TABLE;dbo;;Item code;;;
COLUMN;Color;;Product;TABLE;Production;;Product color.;;;
COLUMN;Comment;;SalesOrderHeader;TABLE;Sales;;Sales representative comments.;;;
COLUMN;Comments;;ProductReview;TABLE;Production;;Reviewer's comments;;;
COLUMN;CommissionPct;;SalesPerson;TABLE;Sales;;Commision percent received per sale.;;;
COLUMN;Company;;2015Fortune500.csv;STRUCTURE;;;Company name;;;
COLUMN;COMPANY;;Fortune500.csv;STRUCTURE;;;Company name;;;
COLUMN;ComponentID;;BillOfMaterials;TABLE;Production;;Component identification number. Foreign key to Product.ProductID.;;;
COLUMN;Construction;;insurance_data.xlsx.tblPolicies;STRUCTURE;;;Construction material/type (masonry, frame, fire resist etc.);;;
COLUMN;ContactTypeID;;BusinessEntityContact;TABLE;Person;;Primary key.  Foreign key to ContactType.ContactTypeID.;;;
COLUMN;ContactTypeID;;ContactType;TABLE;Person;;Primary key for ContactType records.;;;
COLUMN;continent_name;;geoip;COLUMN;;;Continent name;;;
COLUMN;coordinates;;geo;COLUMN;;;GPS coordinates;;;
COLUMN;CostLastYear;;SalesTerritory;TABLE;Sales;;Business costs in the territory the previous year.;;;
COLUMN;CostRate;;Location;TABLE;Production;;Standard hourly cost of the manufacturing location.;;;
COLUMN;CostYTD;;SalesTerritory;TABLE;Sales;;Business costs in the territory year to date.;;;
COLUMN;Country;;Clients;TABLE;dbo;;Country (full name);;;
COLUMN;Country Region Code;;Geography;TABLE;;;Two letters country code (e.g. AU - Australia);;;
COLUMN;Country Region Name;;Geography;TABLE;;;Country name;;;
COLUMN;country_iso_code;;geoip;COLUMN;;;Two letters country ISO code (e.g. Morroco - MO);;;
COLUMN;CountryRegionCode;;CountryRegion;TABLE;Person;;ISO standard code for countries and regions.;;;
COLUMN;CountryRegionCode;;CountryRegionCurrency;TABLE;Sales;;ISO code for countries and regions. Foreign key to CountryRegion.CountryRegionCode.;;;
COLUMN;CountryRegionCode;;SalesTerritory;TABLE;Sales;;ISO standard country or region code. Foreign key to CountryRegion.CountryRegionCode. ;;;
COLUMN;CountryRegionCode;;StateProvince;TABLE;Person;;ISO standard country or region code. Foreign key to CountryRegion.CountryRegionCode. ;;;
COLUMN;created_on;;products;COLUMN;;;Date when product was created;;;
COLUMN;CreditCardApprovalCode;;SalesOrderHeader;TABLE;Sales;;Approval code provided by the credit card company.;;;
COLUMN;CreditCardID;;CreditCard;TABLE;Sales;;Primary key for CreditCard records.;;;
COLUMN;CreditCardID;;PersonCreditCard;TABLE;Sales;;Credit card identification number. Foreign key to CreditCard.CreditCardID.;;;
COLUMN;CreditCardID;;SalesOrderHeader;TABLE;Sales;;Credit card identification number. Foreign key to CreditCard.CreditCardID.;;;
COLUMN;CreditRating;;Vendor;TABLE;Purchasing;;1 = Superior, 2 = Excellent, 3 = Above average, 4 = Average, 5 = Below average;;;
COLUMN;cty;;bds2018_cty.csv;STRUCTURE;;City;City;;;
COLUMN;CultureID;;Culture;TABLE;Production;;Primary key for Culture records.;;;
COLUMN;CultureID;;ProductModelProductDescriptionCulture;TABLE;Production;;Culture identification number. Foreign key to Culture.CultureID.;;;
COLUMN;currency;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Currency of price;;;
COLUMN;CurrencyCode;;CountryRegionCurrency;TABLE;Sales;;ISO standard currency code. Foreign key to Currency.CurrencyCode.;;;
COLUMN;CurrencyCode;;Currency;TABLE;Sales;;The ISO code for the Currency.;;;
COLUMN;CurrencyRateDate;;CurrencyRate;TABLE;Sales;;Date and time the exchange rate was obtained.;;;
COLUMN;CurrencyRateID;;CurrencyRate;TABLE;Sales;;Primary key for CurrencyRate records.;;;
COLUMN;CurrencyRateID;;SalesOrderHeader;TABLE;Sales;;Currency exchange rate used. Foreign key to CurrencyRate.CurrencyRateID.;;;
COLUMN;CurrentFlag;;Employee;TABLE;HumanResources;;0 = Inactive, 1 = Active;;;
COLUMN;customer_birth_date;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Customer's birth date;;;
COLUMN;customer_first_name;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Customer's first name;;;
COLUMN;customer_full_name;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Customer's full name;;;
COLUMN;customer_gender;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Customer's gender;;;
COLUMN;customer_id;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;ID of customer's document;;;
COLUMN;customer_last_name;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Customer's last name;;;
COLUMN;customer_phone;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Customer's phone;;;
COLUMN;CustomerID;;Customer;TABLE;Sales;;Primary key.;;;
COLUMN;CustomerID;;SalesOrderHeader;TABLE;Sales;;Customer identification number. Foreign key to Customer.BusinessEntityID.;;;
COLUMN;Database Version;;AWBuildVersion;TABLE;dbo;;Version number of the database in 9.yy.mm.dd.00 format.;;;
COLUMN;Database Version;;AWBuildVersion;TABLE;dbo;;Version number of the database in 9.yy.mm.dd.00 format.;;;
COLUMN;DatabaseLogID;;DatabaseLog;TABLE;dbo;;Primary key for DatabaseLog records.;;;
COLUMN;DatabaseUser;;DatabaseLog;TABLE;dbo;;The user who implemented the DDL change.;;;
COLUMN;dataset;;event;COLUMN;;;-;;;
COLUMN;dataset;;event;COLUMN;;;Dataset name;;;
COLUMN;Date;;Orders;TABLE;dbo;;Ordered date;;;
COLUMN;DateCreated;;ShoppingCartItem;TABLE;Sales;;Date the time the record was created.;;;
COLUMN;Day Name;;Date;TABLE;;;Name of a day in a week (e.g. Sunday);;;
COLUMN;Day Number of Week;;Date;TABLE;;;Number of day in a week, where: 1 - Sunday 2 - Monday ....;;;
COLUMN;day_of_week;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Name of purchase weekday;;;
COLUMN;day_of_week_i;;kibana_sample_data_ecommerce;SEARCH_INDEX;;;Number of purchase weekday, 0, 0) (Monday = 1, Tuesday = 2, . Sunday = 7) ;;;
COLUMN;dayOfWeek;;kibana_sample_data_flights;SEARCH_INDEX;;;Flight take off da, 0, 0) (Monday = 1, Tuesday = 2, . Sunday = 7) ;;;
COLUMN;DaysToManufacture;;Product;TABLE;Production;;Number of days required to manufacture the product.;;;
COLUMN;deails;;programs;TABLE;;;Program details;;;
COLUMN;Demographics;;Person;TABLE;Person;;Personal information such as hobbies, and income collected from online shoppers. Used for sales analysis.;;;
COLUMN;Demographics;;Store;TABLE;Sales;;Demographic information about the store such as the number of employees, annual sales and store type.;;;
COLUMN;Demographics;;Store;TABLE;Sales;;Demographic informationg about the store such as the number of employees, annual sales and store type.;;;
COLUMN;denom;;bds2018.csv;STRUCTURE;;(DHS) denominator;(DHS) denominator;;;
COLUMN;denom;;bds2018_cty.csv;STRUCTURE;;(DHS) denominator;(DHS) denominator;;;
COLUMN;denom;;bds2018_eage.csv;STRUCTURE;;(DHS) denominator;(DHS) denominator;;;
COLUMN;denom;;bds2018_esize.csv;STRUCTURE;;(DHS) denominator;(DHS) denominator;;;
COLUMN;denom;;bds2018_fage.csv;STRUCTURE;;(DHS) denominator;(DHS) denominator;;;
COLUMN;denom;;bds2018_fsize.csv;STRUCTURE;;(DHS) denominator;(DHS) denominator;;;
COLUMN;denom;;bds2018_iesize.csv;STRUCTURE;;(DHS) denominator;(DHS) denominator;;;
COLUMN;denom;;bds2018_ifsize.csv;STRUCTURE;;(DHS) denominator;(DHS) denominator;;;
COLUMN;denom;;bds2018_metro.csv;STRUCTURE;;(DHS) denominator;(DHS) denominator;;;
COLUMN;denom;;bds2018_sector.csv;STRUCTURE;;(DHS) denominator;(DHS) denominator;;;
COLUMN;denom;;bds2018_st.csv;STRUCTURE;;(DHS) denominator;(DHS) denominator;;;
COLUMN;DepartmentID;;Department;TABLE;HumanResources;;Primary key for Department records.;;;
COLUMN;DepartmentID;;EmployeeDepartmentHistory;TABLE;HumanResources;;Department in which the employee worked including currently. Foreign key to Department.DepartmentID.;;;
COLUMN;Description;;Orders;TABLE;dbo;;Comment from Client;;;
COLUMN;Description;;ProductDescription;TABLE;Production;;Description of the product.;;;
COLUMN;description;;projects;TABLE;;;Project description;;;
COLUMN;Description;;SpecialOffer;TABLE;Sales;;Discount description.;;;
COLUMN;dest;;geo;COLUMN;;;Destination code;;;
COLUMN;Dest;;kibana_sample_data_flights;SEARCH_INDEX;;;Destination airport name;;;
COLUMN;DestAirportID;;kibana_sample_data_flights;SEARCH_INDEX;;;Destination arport ID ;;;
COLUMN;DestCityName;;kibana_sample_data_flights;SEARCH_INDEX;;;Destination city name;;;
COLUMN;DestCountry;;kibana_sample_data_flights;SEARCH_INDEX;;;Two letter code of destination country;;;
COLUMN;DestLocation;;kibana_sample_data_flights;SEARCH_INDEX;;;Destination location coordinates;;;
COLUMN;DestRegion;;kibana_sample_data_flights;SEARCH_INDEX;;;Destination region code;;;
COLUMN;DestWeather;;kibana_sample_data_flights;SEARCH_INDEX;;;Weather at destination airport;;;
